"PC1","PC2","PC3","System","Type"
-53.23209663121,-165.742481492202,27.6463639909768,"APO","APO"
-51.3448258734775,-152.191105884168,37.7207892094335,"APO","APO"
-64.9516410216823,-174.676634606341,46.3421308922277,"APO","APO"
-68.2221712895578,-167.927238537113,67.9889769670377,"APO","APO"
-75.3580303004559,-176.049730301351,85.9849356795005,"APO","APO"
-82.0523329760367,-187.970851009568,90.7963081436925,"APO","APO"
-94.8458644207961,-194.473609727321,83.3699535990697,"APO","APO"
-99.0678390207325,-205.788004200466,80.0271698489671,"APO","APO"
-109.499992705544,-212.817026951346,44.5107819088773,"APO","APO"
-130.145172682429,-235.810051846035,32.2009267036736,"APO","APO"
-125.448555561968,-243.279729033589,34.0920070556518,"APO","APO"
-130.793921149874,-247.798883916314,40.9180432651615,"APO","APO"
-122.534341310147,-246.029557628328,25.1357520507073,"APO","APO"
-118.920900233813,-248.834417462314,14.2629463473047,"APO","APO"
-104.976669818531,-238.615058218013,-12.4735592354808,"APO","APO"
-110.834844790976,-235.674584219208,-7.27442192595881,"APO","APO"
-86.6669045584195,-233.173672278412,-4.14693253333489,"APO","APO"
-82.1977941612122,-255.169940617194,-31.9191707034452,"APO","APO"
-75.1904709400918,-252.498188869103,-19.3288940480668,"APO","APO"
-62.4331625762104,-253.651627778335,-35.0550142434714,"APO","APO"
-64.8757213291244,-227.88090963972,-46.4933539061097,"APO","APO"
-54.2617762934729,-232.724669110401,-46.1464610343546,"APO","APO"
-55.7200339376016,-242.02659097035,-34.3787615148569,"APO","APO"
-40.6969948480175,-233.758018657276,-51.9824809346026,"APO","APO"
-58.7559351883486,-254.93111790968,-52.177997253949,"APO","APO"
-59.6646868329912,-256.155810136984,-47.2569828563047,"APO","APO"
-61.7865252564446,-247.687739137303,-39.1926526097924,"APO","APO"
-58.6919912222817,-252.695669109272,-45.5978862585544,"APO","APO"
-52.3142028212767,-247.392133706896,-40.7983368823803,"APO","APO"
-63.2056167321431,-235.508569988544,-35.6954627961697,"APO","APO"
-58.8472807515323,-232.204696237315,-29.9918149634556,"APO","APO"
-60.7759249724173,-247.636197431753,-39.0258473116547,"APO","APO"
-79.4520924266784,-275.697874808648,-35.9289290476509,"APO","APO"
-76.8103470503104,-292.692190521305,-37.6140087664962,"APO","APO"
-72.4348847579672,-283.833320443781,-30.8963326717221,"APO","APO"
-75.2666918215819,-287.117054115897,-23.0116981293996,"APO","APO"
-82.5629755107954,-281.898385896547,-10.7813129456887,"APO","APO"
-100.176857791152,-281.126928373095,-22.5123499031656,"APO","APO"
-99.5071626595741,-276.243935648137,-25.5075872653116,"APO","APO"
-95.4672928849113,-261.490623725085,-14.5277535170339,"APO","APO"
-79.8573801743987,-266.256779442154,-19.3293775749779,"APO","APO"
-78.7320894996966,-256.180553108543,-18.4921586144808,"APO","APO"
-62.8925109621384,-256.969871986578,-22.1741372931626,"APO","APO"
-56.0448275981702,-240.985138057246,-31.7463619667603,"APO","APO"
-63.2559276848779,-248.450203843674,-30.4346582456388,"APO","APO"
-67.1007144510739,-246.614668333401,-32.1555012300208,"APO","APO"
-58.9658693226616,-236.258038999612,-28.9469801486439,"APO","APO"
-59.1847455859732,-230.489380090664,-41.5045076802306,"APO","APO"
-24.3172695325993,-231.849637352124,-57.3786250250411,"APO","APO"
-33.9979405934599,-216.912772671708,-69.1819148079275,"APO","APO"
-35.8909457789127,-201.490009214095,-66.4429843492179,"APO","APO"
-26.0051995913899,-184.074352859617,-54.0311432921274,"APO","APO"
-42.9717350331239,-185.906374409138,-84.6050086466256,"APO","APO"
-50.5904894011693,-184.804415036204,-72.5860092101738,"APO","APO"
-63.5151011736231,-167.121692686225,-57.2756909268038,"APO","APO"
-55.9942999748965,-158.81002865626,-65.7047437337178,"APO","APO"
